Threshold,c1 value,c2 value,c3 value
0.0097106,-1,1e-31,1
0.010034,-1,1e-30,1
0.010035,-1,1.0069e-30,1
0.010036,-1,1.0139e-30,1
0.010037,-1,1.0209e-30,1
0.010038,-1,1.028e-30,1
0.010039,-1,1.0351e-30,1
0.01004,-1,1.0423e-30,1
0.010041,-1,1.0495e-30,1
0.010042,-1,1.0568e-30,1
0.010043,-1,1.0641e-30,1
0.010044,-1,1.0715e-30,1
0.010045,-1,1.079e-30,1
0.010046,-1,1.0864e-30,1
0.010047,-1,1.094e-30,1
0.010048,-1,1.1015e-30,1
0.010049,-1,1.1092e-30,1
0.01005,-1,1.1169e-30,1
0.010051,-1,1.1246e-30,1
0.010052,-1,1.1324e-30,1
0.010053,-1,1.1403e-30,1
0.010054,-1,1.1482e-30,1
0.010055,-1,1.1561e-30,1
0.010056,-1,1.1641e-30,1
0.010057,-1,1.1722e-30,1
0.010058,-1,1.1803e-30,1
0.010059,-1,1.1885e-30,1
0.01006,-1,1.1968e-30,1
0.010062,-1,1.2051e-30,1
0.010063,-1,1.2134e-30,1
0.010064,-1,1.2218e-30,1
0.010065,-1,1.2303e-30,1
0.010066,-1,1.2388e-30,1
0.010067,-1,1.2474e-30,1
0.010068,-1,1.2561e-30,1
0.010069,-1,1.2648e-30,1
0.01007,-1,1.2735e-30,1
0.010071,-1,1.2824e-30,1
0.010072,-1,1.2913e-30,1
0.010073,-1,1.3002e-30,1
0.010074,-1,1.3092e-30,1
0.010075,-1,1.3183e-30,1
0.010076,-1,1.3274e-30,1
0.010077,-1,1.3366e-30,1
0.010078,-1,1.3459e-30,1
0.010079,-1,1.3552e-30,1
0.01008,-1,1.3646e-30,1
0.010081,-1,1.3741e-30,1
0.010082,-1,1.3836e-30,1
0.010083,-1,1.3932e-30,1
0.010084,-1,1.4029e-30,1
0.010085,-1,1.4126e-30,1
0.010086,-1,1.4224e-30,1
0.010087,-1,1.4322e-30,1
0.010088,-1,1.4422e-30,1
0.010089,-1,1.4522e-30,1
0.01009,-1,1.4622e-30,1
0.010091,-1,1.4724e-30,1
0.010092,-1,1.4826e-30,1
0.010093,-1,1.4929e-30,1
0.010094,-1,1.5032e-30,1
0.010095,-1,1.5136e-30,1
0.010096,-1,1.5241e-30,1
0.010097,-1,1.5347e-30,1
0.010098,-1,1.5453e-30,1
0.010099,-1,1.556e-30,1
0.0101,-1,1.5668e-30,1
0.010101,-1,1.5777e-30,1
0.010102,-1,1.5886e-30,1
0.010103,-1,1.5996e-30,1
0.010104,-1,1.6107e-30,1
0.010105,-1,1.6219e-30,1
0.010106,-1,1.6331e-30,1
0.010107,-1,1.6445e-30,1
0.010108,-1,1.6559e-30,1
0.010109,-1,1.6673e-30,1
0.01011,-1,1.6789e-30,1
